Algorithm,Length,Time (ms)
Insertion Sort,1000,0.183441
Insertion Sort,2500,1.033923
Insertion Sort,5000,5.464311
Insertion Sort,10000,24.9553
Insertion Sort,25000,104.147606
Insertion Sort,50000,410.531869
Insertion Sort,100000,1642.50975
Insertion Sort,250000,10489.563635
Insertion Sort,500000,43008.50637
Insertion Sort,1000000,180454.251332
Merge Sort,1000,0.058936
Merge Sort,2500,0.120118
Merge Sort,5000,0.179012
Merge Sort,10000,3.242719
Merge Sort,25000,0.818477
Merge Sort,50000,1.69409
Merge Sort,100000,3.479125
Merge Sort,250000,11.163857
Merge Sort,500000,20.415068
Merge Sort,1000000,55.819486
